Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-5862136,特許2011-198298(2011/09/12),5862136,アメリカ合衆国イー　インク　コーポレイション,電気泳動表示装置,17,本権利は抹消されていない存続期間満了日(2031/09/12),8年,(2022/12/28)
page-5862212,特許2011-245634(2011/11/09),5862212,アメリカ合衆国イー　インク　コーポレイション,電気泳動表示装置,9,本権利は抹消されていない存続期間満了日(2031/11/09),8年,(2022/12/28)
page-5862892,特許2012-504032(2010/04/09),5862892,スイス国(311007051)シクパ　ホルディング　ソシエテ　アノニム カナダ(509332028)バンク　オブ　カナダ,透明磁性凹版印刷インク,14,本権利は抹消されていない存続期間満了日(2030/04/09),8年,(2022/12/28)
page-5862898,特許2012-544573(2010/11/30),5862898,アメリカ合衆国(502161508)シナプティクス　インコーポレイテッド,動作モードを変更する方法および装置,3,本権利は抹消されていない存続期間満了日(2030/11/30),8年,(2022/12/28)
page-5862904,特許2013-536643(2011/10/05),5862904,アメリカ合衆国(507213592)ボストン　サイエンティフィック　ニューロモデュレイション　コーポレイション,サブアセンブリを用いて形成された埋込み可能な医療デバイスのための外部コントローラ,15,本権利は抹消されていない存続期間満了日(2031/10/05),8年,(2022/12/28)
page-5863049,特許2012-539140(2010/09/10),5863049,オーストラリア(500046450)レスメド・プロプライエタリー・リミテッド,マスクシステム,24,本権利は抹消されていない存続期間満了日(2030/09/10),8年,(2022/12/28)
page-5863230,特許2010-212210(2010/09/22),5863230,フランス(502189579)エルブイエムエイチ　レシェルシェ,オキサゾリジン－２－オン化合物をカプセル化するリポソーム,36,本権利は抹消されていない存続期間満了日(2030/09/22),8年,(2022/12/28)
page-5863250,特許2011-018370(2011/01/31),5863250,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,Ｘ線ＣＴ装置,11,本権利は抹消されていない存続期間満了日(2031/01/31),8年,(2022/12/28)
page-5863262,特許2011-072406(2011/03/29),5863262,フランス(502189579)エルブイエムエイチ　レシェルシェ,特にケア又はメーキャップ向けの化粧品又は医薬組成物,22,本権利は抹消されていない存続期間満了日(2031/03/29),8年,(2022/12/28)
page-5863292,特許2011-145051(2011/06/30),5863292,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,Ｘ線ＣＴ装置,6,本権利は抹消されていない存続期間満了日(2031/06/30),8年,(2022/12/28)
page-5863416,特許2011-258257(2011/11/25),5863416,スイス(505264107)モントレ　ブレゲ　エスエー,ミュージック・ボックス又は打鈴機構付き時計の音響膜,14,本権利は抹消されていない存続期間満了日(2031/11/25),8年,(2022/12/28)
page-5863459,特許2011-539036(2009/12/04),5863459,フランス国(511133750)インセルム　（アンスティテュ・ナショナル・ドゥ・ラ・サント・エ・ドゥ・ラ・ルシェルシュ・メディカル） フランス国(511133107)アシスタンス・ピュブリク・オピトー・ドゥ・パリ フランス国(511133761)ユニヴェルシテ・ドゥ・ヴェルサイユ・サン－クァンタン－アン－イヴェリーヌ フランス共和国ユニヴェルシテ・パリ・シテ,血小板の産生方法,3,本権利は抹消されていない存続期間満了日(2029/12/04),8年,(2023/01/05)
